المكونة;المنحة;نسبة المنحة للصنف أ;نسبة المنحة للصنف ب ;نسبة المنحة لشركات الاحياء والشركات الأهلية
بعنوان انجاز عمليات الاستثمار المباشر في القطاعات ذات الأولوية في الأنشطة الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الفلاحية;30%;15%;30%
بعنوان إنجاز عمليات إستثمار مباشر في القطاعات ذات الأولوية في أنشطة الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الصيد البحري;30%;15%;30%
بعنوان إنجاز عمليات إستثمار مباشر في القطاعات ذات الأولوية في أنشطة التربية الأحياء المائية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة تربية الأحياء المائية;30%;15%;0%
إضفاء قيمة مضافة للمنتوجات الفرعية النباتية أو الحيوانية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
التلقيح الصناعي;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
خدمات العيادات و المصحات البيطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
خدمات المخابر الفلاحية البيطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
الاستشارات الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
جمع الحليب;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
جمع و خزن الحبوب;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
